country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Mongolia,55,88,8,3.4,AS
Montenegro,31,114,128,4.9,EU
Morocco,14,3,7,0.7,AF
Mozambique,37,18,1,1.3,AF
Myanmar,3,1,0,0.1,AS
Namibia,376,3,9,6.8,AF
Nepal,5,0,0,0.2,AS
Netherlands,282,73,205,9.5,EU
New Zealand,203,89,175,9.3,OC
Nicaragua,78,118,1,3.1,NA
Niger,26,2,1,0.2,AF
Nigeria,42,5,3,0.7,AF
North Korea,63,0,0,2.5,AS
Norway,251,71,129,6.9,EU
Oman,22,13,2,0.7,AS
Pakistan,0,0,0,0.0,AS
Panama,45,89,7,2.0,NA
Papua New Guinea,72,26,1,1.4,OC
Paraguay,213,99,74,7.3,SA
Peru,163,75,16,5.4,SA
Philippines,65,81,1,4.8,AS
Poland,212,106,56,10.8,EU
Portugal,194,67,280,10.4,EU
Qatar,42,55,7,2.0,AS
Romania,297,108,167,8.2,EU
Russia,247,326,73,11.5,EU
Rwanda,43,4,1,1.0,AF
Saint Kitts & Nevis,101,156,7,4.9,NA
Saint Lucia,104,207,11,8.2,NA
Saint Vincent & the Grenadines,95,221,7,6.3,NA
Samoa,118,18,1,1.9,OC
San Marino,20,125,241,5.9,EU
Sao Tome & Principe,56,35,8,4.1,AF
Saudi Arabia,6,16,0,0.2,AS
Senegal,15,1,4,0.3,AF
Serbia,274,117,127,10.6,EU
Seychelles,51,31,10,4.1,AF
Sierra Leone,25,3,2,0.4,AF
Singapore,12,37,11,1.5,AS
Slovakia,293,158,116,11.4,EU
Slovenia,270,76,276,10.6,EU
Solomon Islands,56,11,1,1.6,OC
Somalia,0,0,0,0.0,AF
South Africa,225,76,81,8.2,AF
South Korea,140,16,9,6.4,AS
South Sudan,0,0,0,0.0,AF
Spain,284,157,112,10.0,EU
Sri Lanka,54,19,1,2.2,AS
Sudan,18,3,2,0.3,AF
Suriname,128,178,7,5.6,SA
Swaziland,96,40,10,4.7,AF
Sweden,152,63,156,7.2,EU
Switzerland,185,100,280,10.2,EU
Syria,8,21,5,0.3,AS
Taiwan,122,110,4,5.5,AS
Tajikistan,13,16,2,1.2,AS
Tanzania,36,4,1,0.5,AF
Thailand,99,22,1,4.6,AS
Timor-Leste,1,31,0,0.1,AS
Togo,36,17,1,1.1,AF
Tonga,111,33,3,2.2,OC
Trinidad & Tobago,115,173,9,6.4,NA
Tunisia,51,3,14,1.3,AF
Turkey,51,22,7,1.4,EU
Turkmenistan,19,71,32,2.2,AS
Tuvalu,62,14,1,2.0,OC
Uganda,45,12,2,1.4,AF
Ukraine,237,138,45,8.9,EU
United Arab Emirates,5,37,3,0.4,AS
United Kingdom,219,126,195,8.9,EU
United States,249,158,84,8.7,NA
Uruguay,115,35,220,6.6,SA
Uzbekistan,25,101,8,2.4,AS
Vanuatu,69,15,1,2.0,OC
Venezuela,333,100,3,7.7,SA
Vietnam,111,2,1,2.0,AS
Yemen,6,2,0,0.1,AS
Zambia,32,19,4,1.4,AF
Zimbabwe,64,18,4,1.4,AF
